T(K)        G2/(RT)
3.36734e+03 4.03408201e+00
3.37839e+03 4.00969182e+00
3.38945e+03 3.98546073e+00
3.40050e+03 3.96138720e+00
3.41156e+03 3.93746969e+00
3.42261e+03 3.91370669e+00
3.43367e+03 3.89009671e+00
3.44472e+03 3.86663827e+00
3.45578e+03 3.84332992e+00
3.46683e+03 3.82017023e+00
3.47789e+03 3.79715778e+00
3.48894e+03 3.77429116e+00
3.50000e+03 3.75156900e+00
